N_obs,SNR,L,rep,oracle_l2_to_rkhs_mean_cos2
15,0.5,3,72,0.9705060917337085
15,0.5,1,73,0.5954614890911307
15,0.5,2,73,0.8112683980094856
15,0.5,3,73,0.9252774372054858
15,0.5,1,74,0.8735141885316445
15,0.5,2,74,0.9108355763980394
15,0.5,3,74,0.9895076978938245
15,0.5,1,75,0.7946232796300187
15,0.5,2,75,0.8317249857486599
15,0.5,3,75,0.8184133786678051
15,0.5,1,76,0.0741724534165439
15,0.5,2,76,0.6686113400309135
15,0.5,3,76,0.6761091808121318
15,0.5,1,77,0.058738096269410976
15,0.5,2,77,0.9204375931388786
15,0.5,3,77,0.9297731481149922
15,0.5,1,78,0.6824238780529749
15,0.5,2,78,0.6655149649018993
15,0.5,3,78,0.9863373387486035
15,0.5,1,79,0.7918762062524992
15,0.5,2,79,0.848664018427312
15,0.5,3,79,0.8343379506931887
15,0.5,1,80,0.35643738362228905
15,0.5,2,80,0.9027863453146299
15,0.5,3,80,0.7707159654836421
15,0.5,1,81,0.7854223024087749
15,0.5,2,81,0.7976170955170814
15,0.5,3,81,0.9791374064118648
15,0.5,1,82,0.6006258663988536
15,0.5,2,82,0.8375191500722761
15,0.5,3,82,0.8165773006936042
15,0.5,1,83,0.9481530489586111
15,0.5,2,83,0.9227102583103516
15,0.5,3,83,0.6717479364664825
15,0.5,1,84,0.9293669492716627
15,0.5,2,84,0.7959350043459439
15,0.5,3,84,0.9957720877893285
15,0.5,1,85,0.766872106701551
15,0.5,2,85,0.9416656804638228
15,0.5,3,85,0.8800572674073228
15,0.5,1,86,0.5752042937222206
15,0.5,2,86,0.9589358211275262
15,0.5,3,86,0.9397094281495244
15,0.5,1,87,0.481890651112981
15,0.5,2,87,0.8217014625856311
15,0.5,3,87,0.8807234111531175
15,0.5,1,88,0.9743007312613955
15,0.5,2,88,0.6269417391732864
15,0.5,3,88,0.9713899115831465
15,0.5,1,89,0.917843011969324
15,0.5,2,89,0.6403734527397283
15,0.5,3,89,0.9044603941888631
15,0.5,1,90,0.9411002520337461
15,0.5,2,90,0.7876353470813617
15,0.5,3,90,0.781746378756578
15,0.5,1,91,0.7981587102317904
15,0.5,2,91,0.723794885013847
15,0.5,3,91,0.8575490357455801
15,0.5,1,92,0.7881981673505103
15,0.5,2,92,0.9166502216936088
15,0.5,3,92,0.920607917072437
15,0.5,1,93,0.006526759477764828
15,0.5,2,93,0.9067050427036982
15,0.5,3,93,0.9477924715104997
15,0.5,1,94,0.8543209050986501
15,0.5,2,94,0.9117032200144805
15,0.5,3,94,0.9876183937450884
15,0.5,1,95,0.5246658543902835
15,0.5,2,95,0.9067614743750196
15,0.5,3,95,0.9192141551140142
15,0.5,1,96,0.09390392241535768
15,0.5,2,96,0.7294262691572976
15,0.5,3,96,0.9719360827570686
15,0.5,1,97,0.6718086658255809
15,0.5,2,97,0.6837031499371425
15,0.5,3,97,0.7756529223404875
15,0.5,1,98,0.671182991083958
15,0.5,2,98,0.49810994607257286
15,0.5,3,98,0.9915997659732981
15,0.5,1,99,0.38307765102783115
15,0.5,2,99,0.8363031782756255
15,0.5,3,99,0.9664104898437156
15,0.5,1,100,0.9640093654523593
15,0.5,2,100,0.572433176309206
15,0.5,3,100,0.8614206932684647
15,0.5,1,101,0.3746138685363316
15,0.5,2,101,0.9728625644846001
15,0.5,3,101,0.7693014084546047
15,0.5,1,102,0.012115942809256975
15,0.5,2,102,0.9508753419765255
15,0.5,3,102,0.976545142520906
15,0.5,1,103,0.7442624762624956
15,0.5,2,103,0.4997006800059024
15,0.5,3,103,0.9895755801949647
15,0.5,1,104,0.6270241783960517
15,0.5,2,104,0.9180654719754855
15,0.5,3,104,0.6817131813265435
15,0.5,1,105,0.3505097268058546
